Cap Spacing (um),Orifice width (um),Flow rate ratio,Capillary Number Inner,Capillary Number Outer ,Observed regime (0= Dripping & 1 = Jetting),Observed droplet diameter (um)
160.9756098,29.26829268,6.451612903,8.28E-06,0.003794946,0,251.2195122
160.9756098,29.26829268,6.25,8.55E-06,0.003794946,0,253.6585366
160.9756098,29.26829268,6.060606061,8.82E-06,0.003794946,0,251.2195122
160.9756098,29.26829268,5.882352941,9.09E-06,0.003794946,0,251.2195122
160.9756098,29.26829268,5.714285714,9.35E-06,0.003794946,1,282.9268293
160.9756098,29.26829268,5.555555556,9.62E-06,0.003794946,1,285.3658537
160.9756098,29.26829268,5.405405405,9.89E-06,0.003794946,1,292.6829268
160.9756098,29.26829268,5.263157895,1.02E-05,0.003794946,1,295.1219512
160.9756098,29.26829268,5.128205128,1.04E-05,0.003794946,1,297.5609756
160.9756098,29.26829268,5,1.07E-05,0.003794946,1,300
160.9756098,29.26829268,4.87804878,1.10E-05,0.003794946,1,297.5609756
160.9756098,29.26829268,4.761904762,1.12E-05,0.003794946,1,307.3170732
160.9756098,29.26829268,4.651162791,1.15E-05,0.003794946,1,312.195122
160.9756098,29.26829268,4.444444444,1.20E-05,0.003794946,1,339.0243902
160.9756098,29.26829268,4,1.34E-05,0.003794946,1,368.2926829
160.9756098,29.26829268,40,6.68E-07,0.001897473,0,207.3170732
160.9756098,29.26829268,20,1.34E-06,0.001897473,0,209.7560976
160.9756098,29.26829268,13.33333333,2.00E-06,0.001897473,0,212.195122
160.9756098,29.26829268,10,2.67E-06,0.001897473,0,209.7560976
160.9756098,29.26829268,8,3.34E-06,0.001897473,0,231.7073171
160.9756098,29.26829268,6.666666667,4.01E-06,0.001897473,0,241.4634146
160.9756098,29.26829268,5.714285714,4.68E-06,0.001897473,0,253.6585366
160.9756098,29.26829268,5,5.34E-06,0.001897473,0,263.4146341
160.9756098,29.26829268,4.444444444,6.01E-06,0.001897473,0,282.9268293
160.9756098,29.26829268,4,6.68E-06,0.001897473,0,282.9268293
160.9756098,29.26829268,3.636363636,7.35E-06,0.001897473,0,287.804878
160.9756098,29.26829268,3.076923077,8.69E-06,0.001897473,1,346.3414634
160.9756098,29.26829268,2.857142857,9.35E-06,0.001897473,1,348.7804878
160.9756098,29.26829268,2.666666667,1.00E-05,0.001897473,1,353.6585366
160.9756098,29.26829268,40,1.34E-06,0.003794946,0,207.3170732
160.9756098,29.26829268,26.66666667,2.00E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,20,2.67E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,16,3.34E-06,0.003794946,0,229.2682927
160.9756098,29.26829268,13.33333333,4.01E-06,0.003794946,0,231.7073171
160.9756098,29.26829268,11.42857143,4.68E-06,0.003794946,0,231.7073171
160.9756098,29.26829268,10,5.34E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,8.888888889,6.01E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,8,6.68E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,7.272727273,7.35E-06,0.003794946,0,241.4634146
160.9756098,29.26829268,6.666666667,8.02E-06,0.003794946,0,246.3414634
160.9756098,29.26829268,6.153846154,8.69E-06,0.003794946,0,243.902439
160.9756098,29.26829268,5.714285714,9.35E-06,0.003794946,0,248.7804878
160.9756098,29.26829268,5.333333333,1.00E-05,0.003794946,1,282.9268293
160.9756098,29.26829268,5,1.07E-05,0.003794946,1,287.804878
160.9756098,29.26829268,4.705882353,1.14E-05,0.003794946,1,292.6829268
160.9756098,29.26829268,4.444444444,1.20E-05,0.003794946,1,302.4390244
160.9756098,29.26829268,40,1.34E-06,0.003794946,0,192.6829268
160.9756098,29.26829268,20,2.67E-06,0.003794946,0,204.8780488
160.9756098,29.26829268,13.33333333,4.01E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,10,5.34E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,8,6.68E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,6.666666667,8.02E-06,0.003794946,0,236.5853659
160.9756098,29.26829268,5.714285714,9.35E-06,0.003794946,0,265.8536585
160.9756098,29.26829268,5,1.07E-05,0.003794946,1,275.6097561
224.3902439,24.3902439,3.333333333,8.02E-06,0.002004373,1,331.7073171
224.3902439,24.3902439,3.636363636,7.35E-06,0.002004373,1,326.8292683
224.3902439,24.3902439,4,6.68E-06,0.002004373,1,324.3902439
224.3902439,24.3902439,4.444444444,6.01E-06,0.002004373,1,304.8780488
224.3902439,24.3902439,5,5.34E-06,0.002004373,1,287.804878
224.3902439,24.3902439,5.714285714,4.68E-06,0.002004373,1,258.5365854
224.3902439,24.3902439,6.666666667,4.01E-06,0.002004373,0,253.6585366
224.3902439,24.3902439,8,3.34E-06,0.002004373,0,251.2195122
224.3902439,24.3902439,10,2.67E-06,0.002004373,0,246.3414634
224.3902439,24.3902439,13.33333333,2.00E-06,0.002004373,0,243.902439
224.3902439,24.3902439,20,1.34E-06,0.002004373,0,239.0243902
224.3902439,24.3902439,40,6.68E-07,0.002004373,0,234.1463415
224.3902439,24.3902439,40,6.68E-07,0.002004373,0,185.3658537
224.3902439,24.3902439,20,1.34E-06,0.002004373,0,195.1219512
224.3902439,24.3902439,13.33333333,2.00E-06,0.002004373,0,207.3170732
224.3902439,24.3902439,10,2.67E-06,0.002004373,0,229.2682927
224.3902439,24.3902439,8,3.34E-06,0.002004373,0,241.4634146
224.3902439,24.3902439,6.666666667,4.01E-06,0.002004373,0,243.902439
224.3902439,24.3902439,5.714285714,4.68E-06,0.002004373,0,280.4878049
224.3902439,24.3902439,5,5.34E-06,0.002004373,1,292.6829268
224.3902439,24.3902439,4.444444444,6.01E-06,0.002004373,1,312.195122
224.3902439,24.3902439,4,6.68E-06,0.002004373,1,312.195122
224.3902439,24.3902439,3.636363636,7.35E-06,0.002004373,1,346.3414634
224.3902439,24.3902439,3.333333333,8.02E-06,0.002004373,1,334.1463415
224.3902439,24.3902439,3.076923077,8.69E-06,0.002004373,1,339.0243902
224.3902439,24.3902439,25,2.67E-06,0.005010932,1,307.3170732
263.4146341,29.26829268,60,6.68E-07,0.003006559,0,229.2682927
263.4146341,29.26829268,30,1.34E-06,0.003006559,0,226.8292683
263.4146341,29.26829268,20,2.00E-06,0.003006559,0,229.2682927
